"number","title","pageid","namespace","length","touched"
"119","Cher","80696","","159218","20171211032609"
"120","Kate_Mulgrew","81034","","33920","20171208052528"
"121","Mary-Kate_Olsen","81800","","29921","20171206080053"
"122","Tina_Turner","82061","","84950","20171211182732"
"123","Marilyn_Chambers","82772","","38715","20171212055259"
"124","Lea_DeLaria","83532","","23603","20171206061750"
"125","Beyoncé","83688","","223286","20171211234511"
"126","Jessica_Tandy","84047","","20776","20171211072300"
"127","Jean_Seberg","84781","","39885","20171212035500"
"128","Molly_Ringwald","84934","","28410","20171209183052"
"129","Cyndi_Lauper","85226","","92662","20171211144231"
"130","Peggy_Cass","88293","","8638","20171129004637"
"131","Sandra_Bernhard","88704","","21581","20171208063108"
"132","Olivia_de_Havilland","88833","","126382","20171211174509"
"133","Kerri_Green","89635","","5309","20171129004637"
"134","Martha_Plimpton","89641","","49152","20171209231851"
"135","Anne_Ramsey","89648","","10972","20171202204802"
"136","Margaret_Cho","89662","","52229","20171210182325"
"137","Loretta_Swit","89689","","10770","20171129004637"
"138","Debi_Mazar","90685","","20220","20171206130618"
"139","Gilda_Radner","90698","","32426","20171212074623"
"140","Hilary_Swank","92289","","36348","20171211072300"
"141","Hattie_McDaniel","92343","","54712","20171212001737"
"142","Reese_Witherspoon","93560","","140733","20171212010333"
"143","Gates_McFadden","93781","","16074","20171129074536"
"144","Roseanne_Barr","93791","","73225","20171211120639"
"145","Tori_Spelling","97149","","28260","20171128111105"
"146","Jamie_Lynn_Spears","97803","","32014","20171129074536"
"147","Ethel_Merman","100394","","48815","20171212055208"
"148","Martika","101366","","16702","20171110172352"
"149","Julia_Louis-Dreyfus","102592","","51243","20171211195952"
"150","Tina_Fey","102685","","113352","20171209160509"
"151","Jane_Curtin","102947","","19066","20171129074538"
"152","Laraine_Newman","102956","","14191","20171211030526"
"153","Soleil_Moon_Frye","103930","","20768","20171206040728"
"154","Christine_Taylor","105307","","11021","20171210070943"
"155","Clara_Bow","106000","","62568","20171211135423"
"156","Julie_Kavner","113157","","32246","20171205181710"
"157","Tress_MacNeille","113161","","22370","20171207044204"
"158","Marcia_Wallace","113163","","16078","20171212121958"
"159","Madonna_(entertainer)","142056","","188168","20171212020444"
"160","Lucy_Liu","142548","","48274","20171212115642"
"161","Lily_Tomlin","142698","","40236","20171212074623"
"162","Tera_Patrick","143695","","25454","20171206175123"
"163","Christina_Aguilera","144171","","161140","20171209054651"
"164","Brandy_Norwood","144809","","101245","20171212014733"
"165","Carol_Haney","144833","","7382","20171129153012"
"166","Marlene_Dietrich","145325","","69292","20171212074146"
"167","Nichelle_Nichols","145366","","29236","20171206191453"
"168","Danica_McKellar","146089","","35720","20171212010931"
"169","Brook_Kerr","146214","","2562","20171129153019"
"170","Crystal_McKellar","146232","","4007","20171129153019"
"171","Raquel_Welch","146969","","52978","20171211103117"
"172","Ruth_Brown","147308","","25728","20171125000108"
"173","Shirley_MacLaine","147368","","44634","20171210032552"
